"Jour	Type	Clics	Impressions	CTR	CPC.moy.	Co?t	Position.moy.	Clics.convertis	Co?t.clic.converti	Taux.de.conversion.des.clics	Conv..apr?s.affichage	Valeur.de.conv..totale"
"01/09/2012	Brand	250	1928	0,12966805	0,12568	31,42	42,1	9	3,491111111	0,036	0	617"
"02/09/2012	Brand	257	1995	0,128822055	0,121789883	31,3	44,1	10	3,13	0,038910506	0	901,95"
"03/09/2012	Brand	228	1762	0,129398411	0,123815789	28,23	43,3	9	3,136666667	0,039473684	0	646,55"
"04/09/2012	Brand	197	1660	0,118674699	0,140913706	27,76	42,3	10	2,776	0,050761421	0	874,45"
"05/09/2012	Brand	186	1568	0,118622449	0,140053763	26,05	45,2	6	4,341666667	0,032258065	0	1037,65"
"06/09/2012	Brand	192	1956	0,098159509	0,138229167	26,54	43	8	3,3175	0,041666667	0	1557,85"
"07/09/2012	Brand	182	1624	0,112068966	0,140659341	25,6	42,1	13	1,969230769	0,071428571	0	3366,4"
"08/09/2012	Brand	150	1652	0,090799031	0,155	23,25	48,3	5	4,65	0,033333333	0	262,25"
"09/09/2012	Brand	164	1927	0,085106383	0,169756098	27,84	44	8	3,48	0,048780488	0	664,55"
"10/09/2012	Brand	188	1685	0,1115727	0,159946809	30,07	40	6	5,011666667	0,031914894	0	820,15"
"11/09/2012	Brand	197	1521	0,129520053	0,167817259	33,06	40	7	4,722857143	0,035532995	0	978,15"
"12/09/2012	Brand	181	1438	0,125869263	0,18359116	33,23	38	7	4,747142857	0,038674033	0	978,15"
"13/09/2012	Brand	198	1671	0,118491921	0,154292929	30,55	40,7	8	3,81875	0,04040404	0	787,55"
"14/09/2012	Brand	177	1793	0,098717234	0,181412429	32,11	41,3	6	5,351666667	0,033898305	0	2201,65"
"15/09/2012	Brand	158	1657	0,095353048	0,171265823	27,06	42,9	12	2,255	0,075949367	0	1673,8"
"16/09/2012	Brand	185	1863	0,099302201	0,169513514	31,36	40,3	4	7,84	0,021621622	0	432,3"
"17/09/2012	Brand	188	1646	0,114216282	0,161382979	30,34	37,1	10	3,034	0,053191489	0	1060"
"18/09/2012	Brand	241	2488	0,096864952	0,191991701	46,27	44,2	7	6,61	0,029045643	0	1202,15"
"19/09/2012	Brand	185	2234	0,082811101	0,237405405	43,92	24	8	5,49	0,043243243	0	1119,6"
"20/09/2012	Brand	186	2343	0,079385403	0,229032258	42,6	25	10	4,26	0,053763441	0	823"
"21/09/2012	Brand	163	1962	0,083078491	0,254110429	41,42	24	6	6,903333333	0,036809816	0	1059,7"
"22/09/2012	Brand	146	2184	0,066849817	0,267328767	39,03	24	3	13,01	0,020547945	0	235,85"
"23/09/2012	Brand	162	2031	0,079763663	0,257037037	41,64	24	9	4,626666667	0,055555556	0	1286,95"
